Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc12g014360.2	3.1919061512714515e-06	0
Solyc12g006570.2	6.807170614357359e-06	0
Solyc03g044600.2	1.0599498458812776e-05	0
Solyc11g020730.1	1.636202181178596e-05	0
Solyc03g150147.2	1.8152326517384614e-05	0
Solyc10g054675.2	1.9186296156020032e-05	0
Solyc02g094050.5	2.1749435820255655e-05	0
Solyc03g043870.3	2.1749435820255655e-05	0
Solyc12g044630.2	2.1749435820255655e-05	0
Solyc02g150100.1	2.4740151742331408e-05	0
Solyc12g011430.4	2.4740151742331408e-05	0
Solyc01g013883.2	2.503958481330061e-05	0
Solyc09g018760.2	2.503958481330061e-05	0
Solyc06g064660.4	2.6825142762831774e-05	0
Solyc06g008500.3	2.8731611647390197e-05	0
Solyc08g006370.1	2.879976541906685e-05	0
Solyc10g055400.1	2.879976541906685e-05	0
Solyc10g045550.2	3.3092814031664166e-05	0
Solyc12g013750.2	3.5951096240524754e-05	0
Solyc04g025560.4	4.151664291231109e-05	0
Solyc02g081150.1	4.356852606526263e-05	0
Solyc01g006430.3	4.356852606526263e-05	0
Solyc03g025990.1	4.356852606526263e-05	0
Solyc04g081410.3	4.356852606526263e-05	0
Solyc08g077380.4	4.681888855005885e-05	0
Solyc01g080590.3	4.9919215539208966e-05	0
Solyc08g006430.4	4.9919215539208966e-05	0
Solyc07g005945.1	4.9919215539208966e-05	0
Solyc03g034455.2	5.706934808068225e-05	0
Solyc01g068030.3	5.714082210528735e-05	0
Solyc11g031950.1	6.527374521704359e-05	0
Solyc04g076740.3	6.534454027429717e-05	0
Solyc08g065320.3	6.534454027429717e-05	0
Solyc03g053040.1	6.721903026920943e-05	0
Solyc01g103390.3	7.465458144175067e-05	0
Solyc01g104100.3	7.465458144175067e-05	0
Solyc02g066807.1	7.465458144175067e-05	0
Solyc10g050850.2	7.465458144175067e-05	0
Solyc08g077840.3	7.968270538336917e-05	0
Solyc07g042720.1	8.503050333988384e-05	0
Solyc02g066830.4	8.511998461004844e-05	0
Solyc02g069720.3	8.520953755513622e-05	0
Solyc03g119150.5	8.520953755513622e-05	0
Solyc06g060790.1	8.520953755513622e-05	0
Solyc01g057680.4	9.353934417467383e-05	0
Solyc03g096220.3	9.516762466400416e-05	0
Solyc12g013570.2	9.676210320508046e-05	0
Solyc08g006240.4	9.696282746939481e-05	0
Solyc03g062660.5	9.706330784328312e-05	0
Solyc01g005600.4	9.716386709711404e-05	0
Solyc04g009820.3	9.716386709711404e-05	0
Solyc07g006520.3	9.716386709711404e-05	0
Solyc12g014130.2	0.00010361228175893764	0
Solyc03g071720.5	0.0001106895118601514	0
Solyc02g081780.3	0.0001210498044982489	0
Solyc03g117380.4	0.00012585126364209376	0
Solyc12g014330.1	0.0001259776532822853	0
Solyc09g084470.3	0.0001259776532822853	0
Solyc04g150173.2	0.0001264420516668531	0
Solyc10g052714.1	0.0001354777625860656	0
Solyc01g005750.1	0.00014184035675026384	0
Solyc05g055410.3	0.00014295778596856007	0
Solyc04g011615.1	0.00014324061738145563	0
Solyc08g150134.1	0.0001482309238099795	0
Solyc08g007250.3	0.00015238618804438813	0
Solyc01g006440.2	0.00015800168602889887	0
Solyc03g116660.3	0.00016271393756141055	0
Solyc07g062120.4	0.00016271393756141055	0
Solyc12g082720.1	0.00018036624386198378	0
Solyc09g082950.2	0.00018448191952022037	0
Solyc01g091800.3	0.00018465858475926435	0
